,training_data_thu.csv_diff,count1,training_data_ICTCLAS.csv_diff,count2,training_data_thu.csv_SegmentedInput,training_data_ICTCLAS.csv_SegmentedInput
1465,! 记帐式 ! 全天,2,! 记 ! 帐 ! 式 ! 全 ! 天,5,记帐式 国债 的 交易 时间 是 全天 的 吗,记 帐 式 国债 的 交易 时间 是 全 天 的 吗
1466,! 记帐式,1,! 记 ! 帐 ! 式,3,记帐式 国债 的 具体 交易 时间,记 帐 式 国债 的 具体 交易 时间
1467,! 记帐式 ! 几 ! 点,3,! 记 ! 帐 ! 式 ! 几点,4,记帐式 国债 几 点 开始 进行 交易,记 帐 式 国债 几点 开始 进行 交易
1468,! 记帐式 ! 几 ! 点,3,! 记 ! 帐 ! 式 ! 几点,4,记帐式 国债 几 点 停止 交易,记 帐 式 国债 几点 停止 交易
1469,! 记帐式,1,! 记 ! 帐 ! 式,3,记帐式 国债 交易 中午 还 交易 吗,记 帐 式 国债 交易 中午 还 交易 吗
1470,! 记帐式,1,! 记 ! 帐 ! 式,3,记帐式 国债 什么 时候 可以 开始 交易,记 帐 式 国债 什么 时候 可以 开始 交易
1471,! 记帐式 ! 停盘,2,! 记 ! 帐 ! 式 ! 停 ! 盘,5,记帐式 国债 午间 是否 停盘,记 帐 式 国债 午间 是否 停 盘
1472,! 记帐式,1,! 记 ! 帐 ! 式,3,记帐式 国债 星期一 到 星期五 的 交易 时间,记 帐 式 国债 星期一 到 星期五 的 交易 时间
1473,! 记帐式,1,! 记 ! 帐 ! 式,3,记帐式 国债 周末 可以 进行 交易 吗,记 帐 式 国债 周末 可以 进行 交易 吗
1474,,0,,0,查询 记账式 国债 交易 信息 到 哪个 网点 办理 业务,查询 记账式 国债 交易 信息 到 哪个 网点 办理 业务
1475,,0,,0,查询 记账式 国债 买卖 价格 的 网址 是 什么,查询 记账式 国债 买卖 价格 的 网址 是 什么
1476,! 身份 ! 证件,2,! 身份证 ! 件,2,查询 记账式 国债 买卖 交易 信息 需要 携带 身份 证件 吗,查询 记账式 国债 买卖 交易 信息 需要 携带 身份证 件 吗
1477,,0,,0,查询 记账式 国债 信息 需要 带 什么 资料,查询 记账式 国债 信息 需要 带 什么 资料
1478,! 持有量,1,! 持有 ! 量,2,查询 记账式 国债 债券 持有量 系统 的 电话 是 多少,查询 记账式 国债 债券 持有 量 系统 的 电话 是 多少
1479,,0,,0,记账式 国债 的 查询 电话 是 多少,记账式 国债 的 查询 电话 是 多少
1480,,0,,0,记账式 国债 可以 到 哪里 去 查询 相关 信息,记账式 国债 可以 到 哪里 去 查询 相关 信息
1481,,0,,0,记账式 国债 买卖 价格 是 要 到 开户行 查询 吗,记账式 国债 买卖 价格 是 要 到 开户行 查询 吗
1482,! 持有量,1,! 持有 ! 量,2,如何 查询 记账式 国债 持有量,如何 查询 记账式 国债 持有 量
1483,,0,,0,如何 查询 记账式 国债 买卖 价格,如何 查询 记账式 国债 买卖 价格
1484,,0,,0,办理 过 关联 账户 的 ， 兑付 后 资金 在 什么 时候 转入 到 账户 中,办理 过 关联 账户 的 ， 兑付 后 资金 在 什么 时候 转入 到 账户 中
1485,,0,,0,带 什么 材料 办理 凭证式 储蓄 国债 兑付,带 什么 材料 办理 凭证式 储蓄 国债 兑付
1486,,0,,0,没有 办理 过 关联 账户 的 ， 兑付 后 资金 在 什么 时候 转入 到 账户 中,没有 办理 过 关联 账户 的 ， 兑付 后 资金 在 什么 时候 转入 到 账户 中
1487,! 资金会,1,! 资金 ! 会,2,哪 种 账户 兑付 后 资金会 自动 转入 到 账户 中,哪 种 账户 兑付 后 资金 会 自动 转入 到 账户 中
1488,,0,,0,哪 种 账户 需要 到 柜台 办理 兑付 业务,哪 种 账户 需要 到 柜台 办理 兑付 业务
1489,,0,,0,凭证式 储蓄 国债 到期 后 去 哪里 兑换,凭证式 储蓄 国债 到期 后 去 哪里 兑换
1490,,0,,0,凭证式 储蓄 国债 到期 后 怎么 拿 到 钱,凭证式 储蓄 国债 到期 后 怎么 拿 到 钱
1491,,0,,0,凭证式 国债 到期 后 对于 兑付 有 什么 要求,凭证式 国债 到期 后 对于 兑付 有 什么 要求
1492,,0,,0,凭证式 国债 兑付 是 怎么 规定 的,凭证式 国债 兑付 是 怎么 规定 的
1493,,0,,0,网点 可否 办理 凭证式 储蓄 国债 的 兑付 业务,网点 可否 办理 凭证式 储蓄 国债 的 兑付 业务
1494,,0,,0,办理 凭证式 国债 提前 兑付 需要 带 什么 资料,办理 凭证式 国债 提前 兑付 需要 带 什么 资料
1495,,0,,0,凭证式 国债 的 提前 兑付 可以 到 哪里 办理 业务,凭证式 国债 的 提前 兑付 可以 到 哪里 办理 业务
1496,,0,,0,凭证式 国债 提前 兑付 区分 关联 账户 和 不 关联 账户 吗,凭证式 国债 提前 兑付 区分 关联 账户 和 不 关联 账户 吗
1497,,0,,0,凭证式 国债 提前 兑付 是 怎么 规定 的,凭证式 国债 提前 兑付 是 怎么 规定 的
1498,,0,,0,提前 兑付 凭证式 国债 是 要 到 柜台 办理 吗,提前 兑付 凭证式 国债 是 要 到 柜台 办理 吗
1499,,0,,0,网点 可否 受理 凭证式 国债 提前 兑付 的 业务,网点 可否 受理 凭证式 国债 提前 兑付 的 业务
1500,,0,,0,未 关联 账户 的 凭证式 国债 如何 提前 兑付,未 关联 账户 的 凭证式 国债 如何 提前 兑付
1501,,0,,0,未 关联 账户 的 凭证式 国债 以 什么 方式 把 钱 转给 投资者,未 关联 账户 的 凭证式 国债 以 什么 方式 把 钱 转给 投资者
1502,,0,,0,已 关联 账户 的 凭证式 国债 如何 提前 兑付,已 关联 账户 的 凭证式 国债 如何 提前 兑付
1503,,0,,0,怎么 办理 凭证式 国债 的 提前 兑付,怎么 办理 凭证式 国债 的 提前 兑付
1504,! 记帐式,1,! 记 ! 帐 ! 式,3,开户 单位 为 分支 机构 的 办理 记帐式 国债 需要 带 什么 材料,开户 单位 为 分支 机构 的 办理 记 帐 式 国债 需要 带 什么 材料
1505,! 身份 ! 证件,2,! 身份证 ! 件,2,企业 开立 记账式 国债 是否 需要 携带 法人 代表 的 身份 证件,企业 开立 记账式 国债 是否 需要 携带 法人 代表 的 身份证 件
1506,! 企业 ! 法人,2,! 企业法人,1,企业 开立 记账式 国债 是否 需要 携带 企业 法人 营业执照,企业 开立 记账式 国债 是否 需要 携带 企业法人 营业执照
1507,! 身份 ! 证件,2,! 身份证 ! 件,2,企业 开立 记账式 国债 是否 需要 携带 身份 证件 复印件,企业 开立 记账式 国债 是否 需要 携带 身份证 件 复印件
1508,,0,,0,企业 开立 记账式 国债 需要 的 资料 有 哪些,企业 开立 记账式 国债 需要 的 资料 有 哪些
1509,! 身份 ! 证件,2,! 身份证 ! 件,2,企业 开立 记账式 国债 需要 提供 经办人 有效 身份 证件 吗,企业 开立 记账式 国债 需要 提供 经办人 有效 身份证 件 吗
1510,,0,,0,企业 开立 记账式 国债 需要 提供 什么 资料,企业 开立 记账式 国债 需要 提供 什么 资料
1511,! 代码证,1,! 代码 ! 证,2,企业 开立 记账式 国债 需要 携带 机构 代码证 吗,企业 开立 记账式 国债 需要 携带 机构 代码 证 吗
1512,,0,,0,企业 开立 记账式 国债 需要 携带 哪些 手续,企业 开立 记账式 国债 需要 携带 哪些 手续
1513,! 开 ! 立,2,! 开立,1,企业 怎么 开 立 记账式 国债,企业 怎么 开立 记账式 国债
1514,! 储蓄式,1,! 储蓄 ! 式,2,储蓄式 国债 是 郑州 银行 发行 的 吗,储蓄 式 国债 是 郑州 银行 发行 的 吗
1515,! 储蓄式,1,! 储蓄 ! 式,2,储蓄式 国债 在 郑州 银行 可以 购买 吗,储蓄 式 国债 在 郑州 银行 可以 购买 吗
1516,! 储蓄式,1,! 储蓄 ! 式,2,郑州 银行 卖 储蓄式 国债 么,郑州 银行 卖 储蓄 式 国债 么
1517,! 储蓄式,1,! 储蓄 ! 式,2,如何 理解 储蓄式 国债,如何 理解 储蓄 式 国债
1518,,0,,0,什么 叫 储式 蓄 国债,什么 叫 储式 蓄 国债
1519,! 代理 ! 各类,2,! 代 ! 理 ! 各 ! 类,4,我行 代理 国家 发行 、 兑付 储蓄 国债 及 办理 经 批准 的 与 储蓄 国债 相关 的 其他 各类 业务 是 什么,我行 代 理 国家 发行 、 兑付 储蓄 国债 及 办理 经 批准 的 与 储蓄 国债 相关 的 其他 各 类 业务 是 什么
1520,! 电子式,1,! 电子 ! 式,2,电子式 储蓄 国债 是 面向 个人 的 吗,电子 式 储蓄 国债 是 面向 个人 的 吗
1521,! 承销团,1,! 承销 ! 团,2,国家 在 境内 发行 ， 通过 储蓄 国债 承销团 成员 面向 个人 销售 的 、 以 电子 方式 记录 债权 的 不可 流通 人民币 债券 是 什么 国债,国家 在 境内 发行 ， 通过 储蓄 国债 承销 团 成员 面向 个人 销售 的 、 以 电子 方式 记录 债权 的 不可 流通 人民币 债券 是 什么 国债
1522,! 电子式,1,! 电子 ! 式,2,如何 理解 电子式 储蓄 国债,如何 理解 电子 式 储蓄 国债
1523,,0,,0,记账式 国债 的 内容,记账式 国债 的 内容
1524,,0,,0,记账式 国债 可以 在 柜台 进行 交易 吗,记账式 国债 可以 在 柜台 进行 交易 吗
1525,,0,,0,记账式 国债 可 在 哪里 进行 交易,记账式 国债 可 在 哪里 进行 交易
1526,,0,,0,记账式 国债 是 什么 意思,记账式 国债 是 什么 意思
1527,,0,,0,如何 理解 记账式 国债,如何 理解 记账式 国债
1528,,0,,0,怎么 理解 记账式 国债,怎么 理解 记账式 国债
1529,! 承销团 ! 填制 ! 储蓄型,3,! 承销 ! 团 ! 填 ! 制 ! 储蓄 ! 型,6,国家 通过 储蓄 国债 承销团 成员 ， 以 填制 《 中华人民共和国 凭证式 国债 收款 凭证 》 的 方式 ， 面向 个人 发行 的 储蓄型 国债 是 什么 国债,国家 通过 储蓄 国债 承销 团 成员 ， 以 填 制 《 中华人民共和国 凭证式 国债 收款 凭证 》 的 方式 ， 面向 个人 发行 的 储蓄 型 国债 是 什么 国债
1530,,0,,0,凭证式 储蓄 国债 是 面向 个人 的 吗,凭证式 储蓄 国债 是 面向 个人 的 吗
1531,,0,,0,凭证式 储蓄 国债 是 什么 意思,凭证式 储蓄 国债 是 什么 意思
1532,,0,,0,如何 理解 凭证式 储蓄 国债,如何 理解 凭证式 储蓄 国债
1533,! 赎 ! 回,2,! 赎回,1,基金 赎 回 多久 才 能 到 账,基金 赎回 多久 才 能 到 账
1534,! 赎 ! 回,2,! 赎回,1,基金 赎 回 多久 拿 到 钱,基金 赎回 多久 拿 到 钱
1535,! 赎 ! 回,2,! 赎回,1,基金 赎 回 后 多 长 时间 钱 到 自己 账户 上,基金 赎回 后 多 长 时间 钱 到 自己 账户 上
1536,! 几 ! 个,2,! 几个,1,基金 赎回 后 会 在 几 个 工作日 到 账,基金 赎回 后 会 在 几个 工作日 到 账
1537,! 几 ! 天,2,! 几天,1,基金 赎回 几 天 到 账,基金 赎回 几天 到 账
1538,! 赎 ! 回 ! 几 ! 天,4,! 赎回 ! 几天,2,基金 赎 回 确认 后 几 天 到 账,基金 赎回 确认 后 几天 到 账
1539,! 赎 ! 回,2,! 赎回,1,基金 赎 回 日期 怎么 计算,基金 赎回 日期 怎么 计算
1540,! 几 ! 天,2,! 几天,1,基金 赎回 需要 几 天,基金 赎回 需要 几天
1541,,0,,0,基金 赎回 要 多久,基金 赎回 要 多久
1542,! 赎 ! 回,2,! 赎回,1,怎样 确认 基金 赎 回 时间,怎样 确认 基金 赎回 时间
1543,,0,,0,多 长 时间 才 能 确认 基金 交易 成功,多 长 时间 才 能 确认 基金 交易 成功
1544,,0,,0,基金 交易 后 多久 后 可以 确认,基金 交易 后 多久 后 可以 确认
1545,,0,,0,基金 交易 后 为什么 没有 扣 款,基金 交易 后 为什么 没有 扣 款
1546,,0,,0,基金 交易 后 怎样 确认,基金 交易 后 怎样 确认
1547,,0,,0,基金 交易 完成 后 为什么 还 没有 确认,基金 交易 完成 后 为什么 还 没有 确认
1548,,0,,0,基金 交易 需要 多 长 时间,基金 交易 需要 多 长 时间
1549,,0,,0,基金 买 完 当时 可以 确认 吗,基金 买 完 当时 可以 确认 吗
1550,,0,,0,基金 是 实时 交易 的 吗,基金 是 实时 交易 的 吗
1551,,0,,0,我 买 了 基金 什么 时候 能够 确认 买 到 手 了,我 买 了 基金 什么 时候 能够 确认 买 到 手 了
1552,,0,,0,我 买 了 你们 银行 的 基金 为什么 现在 查询 不 了,我 买 了 你们 银行 的 基金 为什么 现在 查询 不 了
1553,,0,,0,查询 开放式 基金 时间,查询 开放式 基金 时间
1554,,0,,0,开放式 基金 工作日 可以 购买 吗,开放式 基金 工作日 可以 购买 吗
1555,,0,,0,开放式 基金 购买 的 时间 问题,开放式 基金 购买 的 时间 问题
1556,,0,,0,开放式 基金 购买 时间,开放式 基金 购买 时间
1557,,0,,0,开放式 基金 认购 的 具体 时间 是 什么,开放式 基金 认购 的 具体 时间 是 什么
1558,,0,,0,开放式 基金 认购 的 时间,开放式 基金 认购 的 时间
1559,,0,,0,开放式 基金 随时 都 能 交易 吗,开放式 基金 随时 都 能 交易 吗
1560,,0,,0,开放式 基金 为什么 有时 不 可以 交易,开放式 基金 为什么 有时 不 可以 交易
1561,,0,,0,什么 时候 可以 购买 开放式 基金,什么 时候 可以 购买 开放式 基金
1562,,0,,0,晚上 还 能 购买 开放式 基金 吗,晚上 还 能 购买 开放式 基金 吗
1563,! 溢宝,1,! 溢 ! 宝,2,办理 快 溢宝 的 方法 有 哪些,办理 快 溢 宝 的 方法 有 哪些
1564,! 溢宝,1,! 溢 ! 宝,2,快 溢宝 必须 到 柜台 购买 吗,快 溢 宝 必须 到 柜台 购买 吗
1565,! 溢宝,1,! 溢 ! 宝,2,郑州 银行 快 溢宝 上 哪 买,郑州 银行 快 溢 宝 上 哪 买
1566,! 溢宝,1,! 溢 ! 宝,2,郑州 银行 快 溢宝 怎么 买,郑州 银行 快 溢 宝 怎么 买
1567,! 宝解 ! 约,2,! 宝 ! 解约,2,手机 银行 可以 办理 快 溢 宝解 约 吗,手机 银行 可以 办理 快 溢 宝 解约 吗
1568,! 溢宝,1,! 溢 ! 宝,2,手机 银行 上 可以 购买 快 溢宝 吗,手机 银行 上 可以 购买 快 溢 宝 吗
1569,! 宝解 ! 约,2,! 宝 ! 解约,2,网上 可以 办理 快 溢 宝解 约 吗,网上 可以 办理 快 溢 宝 解约 吗
1570,! 溢宝,1,! 溢 ! 宝,2,网上 银行 可以 购买 快 溢宝 吗,网上 银行 可以 购买 快 溢 宝 吗
1571,! 溢宝,1,! 溢 ! 宝,2,我 能 在 网上 购买 快 溢宝 吗,我 能 在 网上 购买 快 溢 宝 吗
1572,! 溢宝,1,! 溢 ! 宝,2,怎么 办理 快 溢宝,怎么 办理 快 溢 宝
1573,,0,,0,办理 外汇 宝 业务 可以 在 网点 办 吗,办理 外汇 宝 业务 可以 在 网点 办 吗
1574,,0,,0,柜台 可以 办理 外汇 宝 业务 吗,柜台 可以 办理 外汇 宝 业务 吗
1575,! 网银 ! 宝业 ! 务么,3,! 网 ! 银 ! 宝 ! 业务 ! 么,5,所有 分行 的 网银 都 可以 开通 外汇 宝业 务么,所有 分行 的 网 银 都 可以 开通 外汇 宝 业务 么
1576,! 宝不,1,! 宝 ! 不,2,外汇 宝不 去 营业厅 能 办理 吗,外汇 宝 不 去 营业厅 能 办理 吗
1577,,0,,0,外汇 宝 业务 可以 在 营业厅 办 吗,外汇 宝 业务 可以 在 营业厅 办 吗
1578,! 柜面,1,! 柜 ! 面,2,外汇 宝 业务 只 能 到 柜面 办 吗,外汇 宝 业务 只 能 到 柜 面 办 吗
1579,! 外汇宝 ! 网银,2,! 外汇 ! 宝 ! 网 ! 银,4,外汇宝 在 个人 网银 上 能否 办理,外汇 宝 在 个人 网 银 上 能否 办理
1580,,0,,0,网点 可以 办理 外汇 宝 业务 吗,网点 可以 办理 外汇 宝 业务 吗
1581,! 网银,1,! 网 ! 银,2,网银 可以 办理 外汇 宝 业务 吗,网 银 可以 办理 外汇 宝 业务 吗
1582,,0,,0,自助 终端 可以 办理 外汇 宝 业务 吗,自助 终端 可以 办理 外汇 宝 业务 吗
1583,! 外汇宝,1,! 外汇 ! 宝,2,“ 外汇宝 ” 的 定义 是 什么,“ 外汇 宝 ” 的 定义 是 什么
1584,! 外汇宝,1,! 外汇 ! 宝,2,“ 外汇宝 ” 的 含义 是 什么,“ 外汇 宝 ” 的 含义 是 什么
1585,! 个人 ! 实盘,2,! 个 ! 人 ! 实 ! 盘,4,个人 实盘 外汇 买卖 是 什么 意思,个 人 实 盘 外汇 买卖 是 什么 意思
1586,! 一 ! 种,2,! 一种,1,将 客户 所 持有 的 外币 买卖 成 另 一 种 外币 是 什么 业务,将 客户 所 持有 的 外币 买卖 成 另 一种 外币 是 什么 业务
1587,! 外汇宝,1,! 外汇 ! 宝,2,郑州 银行 是否 有 “ 外汇宝 ” 业务,郑州 银行 是否 有 “ 外汇 宝 ” 业务
1588,! 外汇宝,1,! 外汇 ! 宝,2,什么 叫 “ 外汇宝 ”,什么 叫 “ 外汇 宝 ”
1589,! 个人 ! 实盘,2,! 个 ! 人 ! 实 ! 盘,4,什么 是 个人 实盘 外汇 买卖,什么 是 个 人 实 盘 外汇 买卖
1590,! 外汇宝,1,! 外汇 ! 宝,2,外汇宝 是 做 什么 的,外汇 宝 是 做 什么 的
1591,! 一 ! 种,2,! 一种,1,用 手里 的 外币 去 买 另 一 种 外币 是 什么 业务,用 手里 的 外币 去 买 另 一种 外币 是 什么 业务
1592,! 一 ! 种,2,! 一种,1,用 现有 的 储蓄 的 外币 买卖 另 一 种 外币 是 什么 业务,用 现有 的 储蓄 的 外币 买卖 另 一种 外币 是 什么 业务
1593,,0,,0,我行 公布 的 报价 即时 成交 的 交易 是 什么 交易,我行 公布 的 报价 即时 成交 的 交易 是 什么 交易
1594,! 外汇宝,1,! 外汇 ! 宝,2,外汇宝 委托 交易 是 客户 按照 什么 价格 委托 我行 进行 交易,外汇 宝 委托 交易 是 客户 按照 什么 价格 委托 我行 进行 交易
1595,! 外汇宝,1,! 外汇 ! 宝,2,外汇宝 委托 交易 中 什么 交易 按照 我 行 的 报价 成交,外汇 宝 委托 交易 中 什么 交易 按照 我 行 的 报价 成交
1596,! 我行,1,! 我 ! 行,2,我行 公布 的 报价 达到 或者 超出 委托 价格 时 ， 委托 交易 按照 当时 我行 的 报价 成交 是 什么 交易,我行 公布 的 报价 达到 或者 超出 委托 价格 时 ， 委托 交易 按照 当时 我 行 的 报价 成交 是 什么 交易
1597,! 外汇宝,1,! 外汇 ! 宝,2,外汇宝 指定 交易 的 含义 是 按照 委托 汇率 予以 成交 的 吗,外汇 宝 指定 交易 的 含义 是 按照 委托 汇率 予以 成交 的 吗
1598,! 外汇宝,1,! 外汇 ! 宝,2,外汇宝 指定 交易 的 含义 是 按照 指定 价格 予以 成交 的 吗,外汇 宝 指定 交易 的 含义 是 按照 指定 价格 予以 成交 的 吗
1599,,0,,0,在 特定 情况 下 ， 对 客户 未 成交 的 委托 按 客户 的 委托 汇率 （ 或 指定 价格 ） 而 不 是 以 当时 的 实际 汇率 ， 以 指定 成交 的 方式 发起 新 交易 并 即时 予以 成交 是 什么 交易,在 特定 情况 下 ， 对 客户 未 成交 的 委托 按 客户 的 委托 汇率 （ 或 指定 价格 ） 而 不 是 以 当时 的 实际 汇率 ， 以 指定 成交 的 方式 发起 新 交易 并 即时 予以 成交 是 什么 交易
1600,! 属于,1,! 属 ! 于,2,市价 交易 属于 外汇 宝 交易 吗,市价 交易 属 于 外汇 宝 交易 吗
1601,,0,,0,外汇 宝 交易 包括 哪些,外汇 宝 交易 包括 哪些
1602,,0,,0,外汇 宝 交易 包括 什么,外汇 宝 交易 包括 什么
1603,! 三 ! 种,2,! 三种,1,外汇 宝 交易 的 三 种 都 有 什么,外汇 宝 交易 的 三种 都 有 什么
1604,,0,,0,外汇 宝 交易 的 种类,外汇 宝 交易 的 种类
1605,,0,,0,外汇 宝 交易 都 有 什么,外汇 宝 交易 都 有 什么
1606,,0,,0,外汇 宝 交易 分 为什么,外汇 宝 交易 分 为什么
1607,! 几 ! 种,2,! 几种,1,外汇 宝 交易 有 哪 几 种,外汇 宝 交易 有 哪 几种
1608,! 三 ! 种,2,! 三种,1,外汇 宝 交易 有 哪 三 种,外汇 宝 交易 有 哪 三种
1609,! 属于,1,! 属 ! 于,2,委托 交易 、 制定 交易 属于 外汇 宝 交易 吗,委托 交易 、 制定 交易 属 于 外汇 宝 交易 吗
1610,! 8 ! 点 ! 几 ! 点,4,! 8点 ! 几点,2,外汇 宝 交易 时间 从 星期一 的 8 点 00 到 几 点,外汇 宝 交易 时间 从 星期一 的 8点 00 到 几点
1611,! 全天,1,! 全 ! 天,2,外汇 宝 交易 是 全天 的 吗,外汇 宝 交易 是 全 天 的 吗
1612,,0,,0,外汇 宝 交易 有 时限 吗,外汇 宝 交易 有 时限 吗
1613,! 外汇宝,1,! 外汇 ! 宝,2,外汇宝 晚上 可以 进行 交易 吗,外汇 宝 晚上 可以 进行 交易 吗
1614,,0,,0,周末 可以 进行 外汇 宝 交易 吗,周末 可以 进行 外汇 宝 交易 吗
1615,,0,,0,周日 可以 进行 外汇 宝 交易 吗,周日 可以 进行 外汇 宝 交易 吗
1616,,0,,0,多少 美元 能 办 外汇 宝 业务,多少 美元 能 办 外汇 宝 业务
1617,,0,,0,多少 钱 可以 办理 外汇 宝 业务,多少 钱 可以 办理 外汇 宝 业务
1618,! 外汇宝,1,! 外汇 ! 宝,2,各 地区 对于 外汇宝 最低 办理 金额 规定 是 一样 的 吗,各 地区 对于 外汇 宝 最低 办理 金额 规定 是 一样 的 吗
1619,! 对于 ! 外汇宝,2,! 对 ! 于 ! 外汇 ! 宝,4,每个 分行 对于 外汇宝 规定 的 起点 金额 是 多少,每个 分行 对 于 外汇 宝 规定 的 起点 金额 是 多少
1620,! 外汇宝,1,! 外汇 ! 宝,2,外汇宝 的 最低 交易 金额 是 多少,外汇 宝 的 最低 交易 金额 是 多少
1621,! 外汇宝,1,! 外汇 ! 宝,2,外汇宝 最低 办理 的 金额 是 多少 美元,外汇 宝 最低 办理 的 金额 是 多少 美元
1622,! 外汇宝,1,! 外汇 ! 宝,2,外汇宝 最低 不得 低于 多少 等值 外汇,外汇 宝 最低 不得 低于 多少 等值 外汇
1623,! 外汇宝,1,! 外汇 ! 宝,2,外汇宝 最低 不得 低于 多少 钱,外汇 宝 最低 不得 低于 多少 钱
1624,! 外汇宝,1,! 外汇 ! 宝,2,外汇宝 最低 交易 金额 是 多少,外汇 宝 最低 交易 金额 是 多少
1625,! 外汇宝 ! 最 ! 少,3,! 外汇 ! 宝 ! 最少,3,外汇宝 最 少 交易 资金 是 多少 钱,外汇 宝 最少 交易 资金 是 多少 钱
1626,,0,,0,除了 网点 可以 办 还有 什么 方式 可以 解约 外汇 宝,除了 网点 可以 办 还有 什么 方式 可以 解约 外汇 宝
1627,! 宝解,1,! 宝 ! 解,2,带 着 哪些 材料 进行 外汇 宝解 约,带 着 哪些 材料 进行 外汇 宝 解 约
1628,! 宝到 ! 解约,2,! 宝 ! 到 ! 解 ! 约,4,外汇 宝到 哪个 网点 进行 解约,外汇 宝 到 哪个 网点 进行 解 约
1629,! 宝解 ! 约,2,! 宝 ! 解约,2,外汇 宝解 约 前 应该 做 什么,外汇 宝 解约 前 应该 做 什么
1630,! 网银,1,! 网 ! 银,2,网银 可以 解约 外汇 宝 业务 吗,网 银 可以 解约 外汇 宝 业务 吗
1631,! 宝吗,1,! 宝 ! 吗,2,有 未 成交 的 委托 交易 可以 解约 外汇 宝吗,有 未 成交 的 委托 交易 可以 解约 外汇 宝 吗
1632,! 银行卡 ! 绑定 ! 外汇宝,3,! 银行 ! 卡 ! 绑 ! 定 ! 外汇 ! 宝,6,怎么 把 银行卡 绑定 的 外汇宝 交易 去 掉,怎么 把 银行 卡 绑 定 的 外汇 宝 交易 去 掉
1633,,0,,0,怎么 撤销 外汇 宝 交易,怎么 撤销 外汇 宝 交易
1634,! 解绑,1,! 解 ! 绑,2,怎么 解绑 外汇 宝,怎么 解 绑 外汇 宝
1635,! 外汇宝,1,! 外汇 ! 宝,2,怎么 解除 外汇宝 交易,怎么 解除 外汇 宝 交易
1636,! 外汇宝,1,! 外汇 ! 宝,2,办理 外汇宝 需要 带 什么 资料,办理 外汇 宝 需要 带 什么 资料
1637,! 外汇宝,1,! 外汇 ! 宝,2,带 什么 资料 申请 外汇宝,带 什么 资料 申请 外汇 宝
1638,! 外汇宝,1,! 外汇 ! 宝,2,带 着 身份证 到 哪个 网点 申请 外汇宝,带 着 身份证 到 哪个 网点 申请 外汇 宝
1639,! 外汇宝,1,! 外汇 ! 宝,2,到 哪个 网点 申请 外汇宝,到 哪个 网点 申请 外汇 宝
1640,! 借记卡 ! 可以 ! 外汇宝,3,! 借 ! 记 ! 卡 ! 可 ! 以 ! 外汇 ! 宝,7,借记卡 可以 申请 外汇宝 交易 吗,借 记 卡 可 以 申请 外汇 宝 交易 吗
1641,,0,,0,哪个 柜台 可以 办理 外汇 宝 业务,哪个 柜台 可以 办理 外汇 宝 业务
1642,! 外汇宝,1,! 外汇 ! 宝,2,任 一 网点 都 可以 申请 外汇宝 交易 吗,任 一 网点 都 可以 申请 外汇 宝 交易 吗
1643,! 外汇宝,1,! 外汇 ! 宝,2,申请 外汇宝 的 方法 是 什么,申请 外汇 宝 的 方法 是 什么
1644,,0,,0,通过 哪些 渠道 办理 外汇 宝,通过 哪些 渠道 办理 外汇 宝
1645,! 网银 ! 外汇宝,2,! 网 ! 银 ! 外汇 ! 宝,4,网银 可以 申请 外汇宝 交易 吗,网 银 可以 申请 外汇 宝 交易 吗
1646,,0,,0,哪些 外币 可以 办理 外汇 宝 业务,哪些 外币 可以 办理 外汇 宝 业务
1647,! 外汇宝 ! 币种,2,! 外汇 ! 宝 ! 币 ! 种,4,外汇宝 包括 英镑 这种 币种 吗,外汇 宝 包括 英镑 这种 币 种 吗
1648,,0,,0,外汇 宝 交易 的 外币 种类 有 哪些,外汇 宝 交易 的 外币 种类 有 哪些
1649,! 宝有 ! 几 ! 种,3,! 宝 ! 有 ! 几种,3,外汇 宝有 几 种 外币,外汇 宝 有 几种 外币
1650,! 宝有,1,! 宝 ! 有,2,外汇 宝有 哪些 外币,外汇 宝 有 哪些 外币
1651,! 外汇宝,1,! 外汇 ! 宝,2,外汇宝 支持 澳大利亚 元 吗,外汇 宝 支持 澳大利亚 元 吗
1652,! 外汇宝,1,! 外汇 ! 宝,2,外汇宝 支持 美元 吗,外汇 宝 支持 美元 吗
1653,! 外汇宝,1,! 外汇 ! 宝,2,外汇宝 支持 日元 、 港币 、 加拿大 元 吗,外汇 宝 支持 日元 、 港币 、 加拿大 元 吗
1654,! 外汇宝 ! 瑞士 ! 法郎,3,! 外汇 ! 宝 ! 瑞士法郎,3,外汇宝 支持 瑞士 法郎 、 瑞典 克朗 吗,外汇 宝 支持 瑞士法郎 、 瑞典 克朗 吗
1655,! 外汇宝 ! 新加坡元,2,! 外汇 ! 宝 ! 新加坡 ! 元,4,外汇宝 支持 新加坡元 、 欧元 吗,外汇 宝 支持 新加坡 元 、 欧元 吗
1656,! 丰保 ! 本,2,! 丰保本,1,本利 丰保 本 吗,本利 丰保本 吗
1657,! 丰产品,1,! 丰 ! 产品,2,本利 丰产品 的 特点 是 什么,本利 丰 产品 的 特点 是 什么
1658,! 丰理 ! 财产品,2,! 丰 ! 理财 ! 产品,3,本利 丰理 财产品 是 怎么 投资 的,本利 丰 理财 产品 是 怎么 投资 的
1659,! 本利丰,1,! 本利 ! 丰,2,本利丰 是 什么 东西,本利 丰 是 什么 东西
